location,details
"Vancouver,chinese","Golden Eats Seafood Restaurant,2141 Kingsway,Vancouver
 Chu Kiang Chinese Restaurant,6491 Knight Street,Vancouver
 Fortune City Seafood Restaurant,2800 E 1St Avenue, Suite 302,Vancouver
 Golden Swan Restaurant,5380 Victoria Drive,Vancouver
 Red Star Seafood Restaurant,8298 Granville Street,Vancouver"
"Vancouver,german","Vancouver Christmas Market,1055 Canada Place,Vancouver
 Deutsches Haus,4875 Victoria Drive,Vancouver
 Prost Haus,904 Granville St,Vancouver
 Bestie,105 E Pender Street,Vancouver
 Jgerhof Restaurant,71 Lonsdale Avenue,Vancouver"
"Vancouver,hungarian","Incognito Coffee,843 Seymour Street,Vancouver
 Duna Delicatessen,5026 Victoria Drive,Vancouver"
"Vancouver,indian","Robson All India Bar & Restaurant,1256 Robson Street,Vancouver
 House Of Dosas,1391 Kingsway,Vancouver
 Ginger Garlic,1738 Davie Street,Vancouver
 Akbar'S Own Dining Lounge,1905 W Broadway,Vancouver
 Kinara Indian Cuisine,1326 Davie St,Vancouver"
"Vancouver,italian","Yaletown Gelato,1208 Homer Street,Vancouver
 Pizza Garden Smithe,675 Smithe Street,Vancouver
 Nicli Antica Pizzeria,62 E Cordova Street,Vancouver
 Bella Roma,4460 10Th Avenue,Vancouver
 Cats Socialhouse,1540 Old Bridge Street,Vancouver"
"Vancouver,japanese","Hokkaido Ramen Santouka,1690 Robson Street,Vancouver
 Maruyama,3883 Rupert Street,Vancouver
 Benkei Noodle Shop,747 Thurlow Street,Vancouver
 Umeda Japanese Cuisine,1157 Granville Street,Vancouver
 Manna Sushi,6 E 2Nd Avenue,Vancouver"
"Vancouver,mexican","Best Bite Donair,1091 Davie Street,Vancouver
 Marimba,850 W Georgia Street,Vancouver
 Off The Wagon,1000 Dunsmuir,Vancouver
 Duffin'S Donuts,1391 41St Avenue E,Vancouver
 Tacofino Yaletown,1025 Mainland Street,Vancouver"
"Vancouver,thai","Unchai Thai Restaurant,2351 Burrard Street,Vancouver
 Thai Away Home,1081 Granville Street,Vancouver
 Sweet Chili Cafe,5438 Victoria Drive,Vancouver
 Bua Thai Cuisine,1859 Commercial Drive,Vancouver
 Thai Confusion,117 W Pender Street,Vancouver"
"Vancouver,vietnamese","Banh Mi Saigon,5397 Victoria Drive,Vancouver
 Hai Phong,186 Keefer Place,Vancouver
 Pho Duy,1996 Kingsway,Vancouver
 Vinada Vietnamese Restaurant,1260 Robson Street,Vancouver
 Tina Cake Desserts,128 888 Kingsway,Vancouver"
