location,details
"Delta,chinese","Yummy Wonton House,8677 120Th Street,Delta
 New Ruby Restaurant,8223 120 Street,Delta
 Pho Stanley Restaurant,11184 84 Avenue,Delta
 Asian Jazz,8263-120Th Street,Delta
 Lotus Chinese Restaurant,8939 120 Street,Delta"
"Delta,indian","Hakka Masti,8851 120Th Street,Delta
 Pinch Of Spice,8653 120 Street,Delta
 Tandoori Flame,11970 88 Avenue,Delta
 Bombay Joe'S,4841 Delta Street, Suite 106,Delta
 Desi Dosa Madras,8859 120Th Street,Delta"
"Delta,italian","Pizza Hut,113 - 7111 Scott Road,Delta
 Il Posto,4866 Delta Street,Delta"
"Delta,japanese","Minori Japanese Restaurant,8356 112 Street,Delta
 Gawa Sushi,11156 84Th Avenue,Delta
 Sushi Wara,6485 120Th Street,Delta
 Akari Japanese Restaurant,7261 120 Street,Delta
 Todai Sushi,11156 84Th Avenue,Delta"
"Delta,mexican","The Boot & Sombrero,4866 Delta Street,Delta
 Mucho Burrito,7113 120Th Street,Delta
 Four Winds Brewing,4-7355 72Nd Street,Delta"
"Delta,vietnamese","Phamtastic Pho,4857 Elliott St,Delta
 Pho Saigon,5024 48Th Avenue,Delta
 Pho 99 Delta,8699 120Th Street,Delta"
