location,details
"Burnaby,chinese","Royal Palace Banquet Hall,7845 Edmonds Street,Burnaby
 Chef Corner,109-5021 Kingsway,Burnaby
 Lee Garden Seafood Restaurant,6401 Kingsway, Suite 110,Burnaby
 New Starlet Seafood Restaurant,5665 Kingsway, Suite 150,Burnaby
 Boiling Point,5276 Kingsway,Burnaby"
"Burnaby,german","Little Billy'S Steak House,6785 Hastings Street,Burnaby
 Fraser Park Restaurant,4663 Byrne Road, Suite 103,Burnaby"
"Burnaby,hungarian","Danube European Restaurant,3701 Hastings Street, Suite 102A,Burnaby"
"Burnaby,indian","Agra Indian Sweets And Restaurant,7585 6Th Street,Burnaby
 King Mahal Restaurant,4051 Hastings Street,Burnaby
 Pizza Pizzeria,8679 E 10Th Ave,Burnaby
 Cayenne Bistro & Grill,7677 6Th St,Burnaby
 Saffron Indian Cuisine,4300 Kingsway, Suite 5,Burnaby"
"Burnaby,italian","Pasta Amore Pizzeria Ristorante,4502 Dawson Street,Burnaby
 Megabite Pizza,160-3292 Production Way,Burnaby
 Club Ilia,8902 University High Street,Burnaby
 La Forchetta,5601 Hastings Street,Burnaby
 La Villetta Ristorante,3901 E Hastings Street,Burnaby"
"Burnaby,japanese","Sushi Garden,4269 Lougheed Highway,Burnaby
 Kenzo Japanese Noodle House,6907 Kingsway,Burnaby
 Yo Sushi,4266 Hastings Street,Burnaby
 Katsu Japanese,4331 Dominion Street,Burnaby
 Sushimoto Enterprises,2201 Holdom Avenue, Ste 102,Burnaby"
"Burnaby,mexican","Quesada Burritos & Tacos,8605 Glenlyon Parkway,Burnaby
 Lone Star Tortilla,Maggie Benston Centre Food Court, 8888 University Drive,Burnaby
 Mucho Burrito,7515 Market Crossing,Burnaby
 El Comal,7650 Winston Street,Burnaby
 Chipotle Mexican Grill,4700 Kingsway, Suite 2200,Burnaby"
"Burnaby,thai","Ithai Restaurant,7413 Edmonds Street,Burnaby
 Thai Express,4820 Kingsway, Suite 318, Metrotown Metropolis,Burnaby
 Siam Le Bien,4217 Hastings St,Burnaby
 Thai Chef,3355 North Road, Unit 206,Burnaby
 Lhy Thai Restaurant,7357 Edmonds Street,Burnaby"
"Burnaby,vietnamese","Triple Coconut Tree Vietnamese Restaurant,4124 Hastings Street,Burnaby
 Broken Rice Vietnamese Restaurant,4088 Hastings Street,Burnaby
 Pho Boi,5505 Kingsway,Burnaby
 Pho 101,5937 Hastings Street,Burnaby
 Miss Saigon Vietnamese Bistro,4685 Kingsway,Burnaby"
