location,details
"Port Moody,chinese","Kurumba Restaurant,107-3003 St. Johns Street,Port Moody
 Gourmet Chinese Restaurant,221 Loco Road, Suite 350,Port Moody
 Lougheed Wonton House,2408 Saint Johns Street,Port Moody"
"Port Moody,indian","Masala Junction,3180 Saint John'S Street,Port Moody
 Rehanah'S Roti & Trinidadian,2518 Saint Johns Street,Port Moody
 Aroma Restaurant & Bar,50 Queens Street,Port Moody"
"Port Moody,italian","Henry'S Kitchen Pasta & Grill,2410 Saint Johns Street,Port Moody
 Rosa'S Cucina Italiana,2331 Clarke Street,Port Moody
 Casa Dolce Gelato & Chocolate,252 Newport Drive,Port Moody
 Golphis Steak And Lobster,2409 Saint John'S Street,Port Moody
 Spacca Napoli,2801 Saint Johns Street,Port Moody"
"Port Moody,japanese","Sakeya Sushi,2838 St.John'S Street,Port Moody
 Cake Ya,3256 St Johns Street,Port Moody
 Yoon'S Kitchen,3017 Saint Johns Street,Port Moody
 Hanayuki Sushi,100-221 Ioco Road,Port Moody
 Murasaki Japanese Restaurant,254 Newport Drive,Port Moody"
"Port Moody,mexican","Originals Cafe Mexicano,2231 Clarke Street,Port Moody
 Taps & Tacos,91 Moody Street,Port Moody"
"Port Moody,thai","Little Bangkok Thai Kitchen,2335 St Johns Street,Port Moody
 Saint St Grill,2510 St. Johns Street,Port Moody
 Aroy Thai,1-2816 Saint Johns Street,Port Moody"
