location,details
"Surrey,chinese","Neptune Wonton Noodle,Central City Mall, 1130-10153  King George Boulevard,Surrey
 Hong Ma No Korean Restaurant,10330 152 Street,Surrey
 Neptune Seafood Restaurant,10153 King George Boulevard, Suite 1130,Surrey
 Lee Garden Seafood Restaurant,8080 120 Street, Unit 130,Surrey
 Sanhao Bbq Delight,1-15138 100 Avenue,Surrey"
"Surrey,indian","Showshaa - The Modern Taproom,201-7500 120 Street,Surrey
 Satya Asha,12950 80Th Street,Surrey
 Nav Sweets & Restaurant,101-8140 120Th Street,Surrey
 Gateway Pizza & Curry,9183 148 Street,Surrey
 Bombay Se,7500 120 Street, Suite 112,Surrey"
"Surrey,italian","Famoso Neapolitan Pizzeria,10355 152 Street, Suite 1001,Surrey
 Omega Pizza & Wings,5-9965 152 Street N,Surrey
 Guildford Pizza & Pasta,10790 148 Street,Surrey
 Porto Fino Express,134 6350 120Th Street,Surrey
 Domino'S Pizza,10346 Whalley Boulevard,Surrey"
"Surrey,japanese","Fukuda Sushi,10537 King George Boulevard,Surrey
 Izumo Sushi Japenese Restaurant,13631 100 Avenue,Surrey
 Tokyo Sushi Express,8556 120 Street, Suite 101,Surrey
 Sushi King George,102-10344 King George Boulevard,Surrey
 Nori Casual,14787 108 Avenue,Surrey"
"Surrey,mexican","Chipotle Mexican Grill,10355 152 St, Unit 1005,Surrey
 Taqueria El Buen Sabor,13780 104 Avenue,Surrey
 Quesada Burritos & Tacos,13737 96Th Avenue, Unit 101,Surrey
 Castro'S Tacos,13646 Grosvenor Road,Surrey
 Mucho Burrito,9666 King George Boulevard,Surrey"
"Surrey,thai","Mek'S Delight,14910 104Th Avenue,Surrey
 One More Thai,7158-120 Street,Surrey
 Sabai Thai Restaurant,10391 150 Street,Surrey
 Thai Express,10355 152 Street,Surrey
 Nahm Thai Bistro,13650 102 Avenue, Suite 202,Surrey"
"Surrey,vietnamese","Pho Hoa Noodle Soup,14357 104 Avenue,Surrey
 Pho Triple 8,15138 100Th Avenue, Suite 2,Surrey
 Viet Houng Asian Flavor Deli,13048 Old Yale Road,Surrey
 Pho Tam Restaurant,10-10302 135 Street,Surrey
 Henlong Market,14351-104 Avenue,Surrey"
