location,details
"Richmond,chinese","Sambal Coconut Malaysian Szechuan Cuisine,9371 Number 5 Road, Suite 3,Richmond
 Fisherman'S Terrace Seafood Restaurant,4151 Hazelbridge Way, Suite 3580,Richmond
 Dinesty Dumpling House,4151 Hazelbridge Way, Suite 2788,Richmond
 Tin Tin Seafood Harbour,3711 No. 3 Road,Richmond
 Cheng Du Xiao Chi,4160 No.3 Road,Richmond"
"Richmond,german","D Original Sausage Haus,12000 1St Avenue, Unit 130,Richmond"
"Richmond,indian","Tandoori Kona,11700 Cambie Road, Suite 170,Richmond
 Tandoori King Cafe,1-12880 Bathgate Way,Richmond
 Best Bite Indian Cuisine,10-3891 Chatham Street,Richmond
 Ginger Indian Cuisine,3031 Beckman Place, Suite 140,Richmond
 Neptune Bistro,11331 Coppersmith Way, Unit 100,Richmond"
"Richmond,italian","Pizza Hut,8980 No 3 Road, Suite 140,Richmond
 Pizza Hut,3675 Westminster Highway, Unit 120,Richmond
 White Spot,1902-6551 No 3 Road,Richmond
 Bibo Pizzeria,7899 Templeton Station Road, Suite 67C,Richmond
 Moma Contemporary Bistro,8580 Cambie Road, Unit 104,Richmond"
"Richmond,japanese","Caf De Waraku,4231 Hazelbridge Way, Suite 155,Richmond
 Ora Sushi,3651 Moncton Street, Suite 120,Richmond
 Ichiro Japanese Restaurant,12011 2Nd Avenue,Richmond
 Sushi Han,8180 Number 2 Road, Suite 182,Richmond
 Shintaro Sushi,3791 Bayview Street, Suite 230,Richmond"
"Richmond,mexican","Taco Del Mar,#128 - 11020 No 5 Rd, Suite 128,Richmond
 Que Pasa,12031 No 5 Road,Richmond
 Taco Del Mar,#108 - 3080 St. Edwards Dr, Suite 108,Richmond
 The Shellfish Shack,105 Alderbridge Way,Richmond
 Little Mexico Cantina,3131 Chatham Street, Unit 150,Richmond"
"Richmond,thai","White Spot,5880 No 3 Road,Richmond
 Thai Kitchen,8180 No 2 Road, Suite 160,Richmond
 Thai House Restaurant,4940 No 3 Road, Suite 129,Richmond
 Kari House Restaurant,3900 Bayview Street,Richmond"
"Richmond,vietnamese","Pho Ten,11080 No 5 Road, Suite 130,Richmond
 Bnh M Trs Bon,1840-4720 Mcclelland Road,Richmond
 Pho 99 Vietnamese Noodle House,180-8611 Alexandra Road,Richmond
 Red Pagoda,11666 Steveston Highway, Suite 3120,Richmond
 Pho An Nam,6820 No 3 Road,Richmond"
