location,details
"New Westminster,chinese","Young Cafe,609 12Th Street,New Westminster
 Rong Rong Tea House,74 8Th Street,New Westminster
 Wild Rice,810 Quayside Drive, Unit 122,New Westminster
 Pho Chung Nam,522 6Th Avenue,New Westminster
 North Noodle House,800 Carnarvon Street, Suite 356,New Westminster"
"New Westminster,german","The Old Bavaria Haus,233 6Th Street,New Westminster"
"New Westminster,indian","Amar'S Indian Feast,610 6Th Street, Suite 151,New Westminster
 Arvind'S Curry & Cocktail,420 6Th Street,New Westminster
 Indian Star Restaurant & Sweets,420 6Th Street,New Westminster
 Royal Tandoori Indian Restaurant,83 Sixth St,New Westminster
 Naan Bites,805 Boyd Street, Suite J 120,New Westminster"
"New Westminster,italian","Gino'S Restaurant,431 E Columbia Street,New Westminster
 Salvatore'S La Spaghetteria,232 Sixth Street,New Westminster
 Boston Pizza,805 Boyd Street, Unit P100,New Westminster
 Artusi Restaurant,412 6Th Street,New Westminster
 The Old Spaghetti Factory,50 8Th Street,New Westminster"
"New Westminster,japanese","Sushi Well,26A 4Th Street,New Westminster
 Bara Sushi And Bbq,620 6Th Street,New Westminster
 Kushi Mura Japanese Izakaya,260 - 800 Carnarvon Street,New Westminster
 Hi Dozo Sushi,702 6Th Avenue,New Westminster
 Sushi Tang & Yasik,546 6Th Street,New Westminster"
"New Westminster,mexican","Original'S Restaurante Mexicano,800 Carnarvon Street,New Westminster
 Chronic Tacos,110-66 10Th Street,New Westminster
 Ay Picante,418 E Columbia Street,New Westminster
 Pamola Bakery And Deli,810 Quayside Drive, Unit 117,New Westminster
 El Santo,680 Columbia Street,New Westminster"
"New Westminster,thai","Thai Box 2Go,418 6Th Street, Suite 110,New Westminster
 Van Thai Restaurant,892 Carnarvon Street, Unit 100,New Westminster
 Freebird Chicken Shack,810 Quayside Drive, Suite 105,New Westminster
 Longtail Kitchen,116-810 Quayside Drive,New Westminster
 Thai New West,424 E Columbia Street,New Westminster"
"New Westminster,vietnamese","Co Chau,522 6Th Avenue,New Westminster
 Pho Nam,1188 8Th Avenue,New Westminster
 Pho Maxima,822 20 Street,New Westminster
 Banh Mi Bar Restaurant,722 Carnarvon Street,New Westminster
 Pho Chan,800 Mcbride Boulevard, Suite 19,New Westminster"
